Id,Name,Type,Industry,AnnualRevenue,NumberOfEmployees,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Website,CreatedDate,LastModifiedDate,OwnerId,IsDeleted
6edf88a1-0c7c-48ed-8453-b0371bae8bcc,"King, Mendez and Silva",Partner,Finance,1232311,5618,82032 James Fall,Rosschester,South Dakota,44057,Malta,001-735-552-8286,http://www.matthews.info/,2024-03-16T20:13:07,2024-08-20T10:07:48,b9abd683-1ba8-4fad-9153-7e47036b380f,False
b1056bc2-52d0-4161-9f38-00c53f814b81,Evans-Alexander,Customer,Retail,1783414,956,7837 Espinoza Street,Popestad,Wisconsin,39357,Solomon Islands,001-374-988-8850,http://www.mccormick-lucas.com/,2022-03-11T02:41:18,2024-08-08T07:32:52,dce562df-86af-4478-91a8-f3c2fb981e54,False
9a87dcbb-9f5a-435e-b822-96550d758462,Hernandez-Pena,Customer,Technology,38065676,9236,570 Davidson Center,South Curtisborough,Oklahoma,16422,Cameroon,402.991.8269x4684,http://www.jimenez.biz/,2024-09-25T18:24:18,2025-08-06T13:00:22,dca7b901-5f56-4a43-843a-0e6a138f903d,False
9c406e93-ce1b-4c4e-8f29-4e7839c3bef8,Galloway-Miller,Customer,Technology,36451839,9045,1775 Mills Parkway Apt. 390,Port Patrick,Oregon,05377,Timor-Leste,665.716.3082,http://lewis.com/,2023-10-12T05:23:49,2024-12-10T11:37:04,09876575-e80d-41ed-afa3-19469b330c9b,False
7d63b448-75f1-4749-94c1-a8f9a71caacf,"Fletcher, Brown and Benjamin",Customer,Technology,4937507,9551,413 Christopher Motorway Apt. 051,Erikaburgh,Oklahoma,50885,Zimbabwe,259-945-8056x267,http://herrera.com/,2024-06-09T03:28:11,2025-06-23T18:31:45,d23cd487-f341-4d3f-8629-59579e0227bf,False
ff79bc76-2726-4d7f-aa99-e2d50e9b73e4,Lee-Ortiz,Customer,Finance,40102787,5332,5362 James Crossroad,Lindseyton,New Jersey,26226,Vanuatu,540.984.0516,https://lee.com/,2024-02-26T12:53:38,2024-11-07T15:08:22,c7218d10-0435-42fb-b475-0e2a01258a30,False
5ccb25ff-1ae6-45b3-8a6b-d3775bc04da8,Gray Inc,Partner,Retail,21617406,3312,598 Laurie Cliff Suite 272,Emilymouth,Nevada,09957,Antigua and Barbuda,219.801.3074,http://trujillo.com/,2022-05-06T06:16:59,2023-07-29T03:10:10,cad80e0c-0e12-438b-b51d-420a6f3b67b7,False
2bffcdfa-0b6d-4772-8492-abb3cd1909cf,Sweeney and Sons,Customer,Retail,6959932,1531,24449 John Flat Apt. 518,Baileyshire,Maine,18367,Martinique,529.398.5192,http://day-moody.net/,2024-07-03T14:57:19,2025-04-16T20:07:17,c69e7e34-a45c-4016-bfad-31e33034dfd3,False
56e6a177-9bca-4284-80c1-4974ee051665,Robertson-Rice,Competitor,Finance,8539027,5598,39400 Jamie Forest Apt. 902,Whitetown,Kansas,07928,Niger,818-953-6901,http://marshall.net/,2024-01-11T21:31:29,2024-10-22T23:49:29,57c403eb-62dd-477f-8528-ba2474ed14d6,False
66fa2848-4abd-4f58-a495-81de9d5683e6,Clark-Boyle,Prospect,Technology,33719141,491,0512 Lewis Islands Apt. 796,Charlestown,Wyoming,08562,Turkey,998-886-0792,http://www.wallace.net/,2025-03-07T20:21:07,2025-06-22T08:41:51,c775c7bf-1911-4325-8a65-537a993576f7,False
d67de0f0-52a3-4357-a0a2-7d64c54a79b9,"Alvarez, Hawkins and Phillips",Customer,Finance,7109982,9650,365 Kelly Centers,Anthonyview,New Mexico,55640,Central African Republic,001-491-384-6571x045,https://roberson.com/,2024-06-08T20:42:31,2025-06-26T17:05:40,8b262be3-70e3-4396-b082-0796b697f795,True
